index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
118,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,2.0,2.0,no,1,yes,yes,0,Agree,Agree,1,0
119,2021,Q1Q2,Brazil,venezuela,other,stay,3.0,3.0,no,1,yes,no,0,Disagree,Disagree,0,0
120,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,0.0,,1,,,0,,Agree,0,0
121,2021,Q1Q2,Brazil,venezuela,white,dontknow,1.0,3.0,no,0,yes,yes,0,Agree,Agree,0,0
122,2021,Q1Q2,Brazil,venezuela,white,relocate,1.0,0.0,no,1,,,0,StronglyDisagree,StronglyAgree,0,0
123,2021,Q1Q2,Brazil,,black,stay,1.0,1.0,yes,0,yes,no,0,StronglyAgree,StronglyAgree,0,0
124,2021,Q1Q2,Brazil,venezuela,mixed,stay,3.0,1.0,no,0,,,0,StronglyAgree,StronglyAgree,1,0
125,2021,Q1Q2,Brazil,venezuela,,dontknow,1.0,0.0,yes,1,,,0,,Undecided,0,0
126,2021,Q1Q2,Brazil,venezuela,,relocate,2.0,1.0,yes,1,no,,0,,Undecided,0,0
127,2021,Q1Q2,Brazil,venezuela,mixed,relocate,4.0,2.0,yes,0,,,0,,StronglyAgree,1,0
128,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,3.0,yes,1,no,,0,Disagree,StronglyDisagree,0,0
129,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,6.0,2.0,no,1,,,0,StronglyAgree,Agree,1,0
130,2021,Q1Q2,Brazil,venezuela,white,relocate,2.0,2.0,,1,yes,yes,0,Agree,StronglyDisagree,0,0
131,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,2.0,yes,1,yes,yes,0,,StronglyDisagree,0,0
132,2021,Q1Q2,Brazil,venezuela,white,stay,1.0,3.0,yes,1,yes,no,0,,StronglyDisagree,0,0
133,2021,Q1Q2,Brazil,venezuela,mixed,stay,2.0,1.0,yes,1,,,0,Agree,Undecided,0,0
134,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,1.0,yes,1,no,,0,,Disagree,0,0
135,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,1.0,no,1,,,0,Agree,StronglyAgree,1,0
136,2021,Q1Q2,Brazil,venezuela,other,dontknow,5.0,0.0,,0,,,0,,Agree,0,0
137,2021,Q1Q2,Brazil,venezuela,indigenous,stay,3.0,1.0,yes,1,yes,no,0,Agree,Agree,1,0
138,2021,Q1Q2,Brazil,venezuela,other,dontknow,4.0,1.0,yes,0,,,0,Agree,StronglyAgree,0,0
139,2021,Q1Q2,Brazil,venezuela,black,relocate,2.0,0.0,yes,1,,,0,,StronglyAgree,1,0
140,2021,Q1Q2,Brazil,venezuela,other,dontknow,2.0,2.0,,1,no,,0,,StronglyAgree,1,0
141,2021,Q1Q2,Brazil,venezuela,mixed,relocate,1.0,0.0,yes,1,,,0,,Agree,1,0
142,2021,Q1Q2,Brazil,venezuela,other,stay,1.0,1.0,yes,1,yes,no,0,,StronglyDisagree,0,0
143,2021,Q1Q2,Brazil,venezuela,black,relocate,2.0,0.0,yes,1,,,0,StronglyAgree,Agree,0,0
144,2021,Q1Q2,Brazil,venezuela,mixed,relocate,5.0,1.0,yes,1,,,0,StronglyAgree,Undecided,0,0
145,2021,Q1Q2,Brazil,venezuela,,stay,2.0,0.0,yes,1,,,0,Agree,Undecided,0,0
146,2021,Q1Q2,Brazil,other,black,stay,1.0,0.0,yes,0,,,0,,StronglyAgree,1,0
147,2021,Q1Q2,Brazil,venezuela,mixed,relocate,1.0,2.0,yes,1,no,,0,,StronglyDisagree,0,0
148,2021,Q1Q2,Brazil,venezuela,,relocate,2.0,1.0,yes,1,,,0,Agree,Disagree,0,0
149,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,2.0,1.0,no,1,,,0,StronglyAgree,Undecided,0,0
150,2021,Q1Q2,Brazil,venezuela,,relocate,2.0,3.0,yes,1,yes,no,0,Agree,Undecided,0,0
151,2021,Q1Q2,Brazil,venezuela,mixed,stay,3.0,1.0,yes,1,,,0,StronglyAgree,Agree,1,0
152,2021,Q1Q2,Brazil,venezuela,mixed,stay,1.0,0.0,yes,1,,,0,,StronglyAgree,1,0
153,2021,Q1Q2,Brazil,venezuela,,relocate,2.0,3.0,no,1,yes,yes,0,,StronglyDisagree,0,0
154,2021,Q1Q2,Brazil,venezuela,mixed,stay,2.0,5.0,no,1,yes,dontknow,0,Agree,Disagree,0,0
