"ID","Year","Quarter","CountryofAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical"
1,2021,"Q1Q2","Panama","colombia",NA,"stay",2,3,"",1,"yes","no",0,"StronglyAgree","Agree",0,0
2,2021,"Q1Q2","Panama","",NA,"stay",1,0,"yes",1,"","",0,"","StronglyAgree",0,0
3,2021,"Q1Q2","Panama","",NA,"stay",2,3,"no",1,"yes","no",0,"StronglyAgree","Disagree",0,0
4,2021,"Q1Q2","Panama","venezuela",NA,"stay",1,0,"yes",1,"","",0,"Undecided","StronglyAgree",1,0
5,2021,"Q1Q2","Panama","",NA,"stay",2,0,"",1,"","",0,"","StronglyAgree",1,0
6,2021,"Q1Q2","Panama","nicaragua",NA,"stay",NA,NA,"yes",1,"","",0,"StronglyAgree","StronglyAgree",0,0
7,2021,"Q1Q2","Panama","nicaragua",NA,"stay",2,1,"yes",1,"","",0,"StronglyAgree","StronglyAgree",0,0
8,2021,"Q1Q2","Panama","",NA,"stay",4,0,"yes",0,"","",0,"StronglyAgree","StronglyAgree",0,0
9,2021,"Q1Q2","Panama","salvador",NA,"stay",NA,NA,"yes",0,"yes","yes",0,"StronglyAgree","Agree",0,0
10,2021,"Q1Q2","Panama","colombia",NA,"stay",NA,NA,"yes",1,"no","",0,"StronglyAgree","StronglyAgree",0,0
11,2021,"Q1Q2","Panama","colombia",NA,"stay",1,0,"yes",1,"","",0,"StronglyAgree","Disagree",0,0
12,2021,"Q1Q2","Panama","colombia",NA,"stay",2,1,"yes",1,"","",0,"StronglyAgree","StronglyAgree",0,0
13,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,0,"yes",1,"","",0,"","StronglyAgree",0,0
14,2021,"Q1Q2","Panama","",NA,"stay",4,0,"yes",1,"","",0,"","Agree",1,0
15,2021,"Q1Q2","Panama","colombia",NA,"stay",4,1,"yes",1,"no","",0,"","StronglyAgree",0,0
16,2021,"Q1Q2","Panama","colombia",NA,"stay",1,0,"yes",1,"","",0,"","StronglyAgree",0,0
17,2021,"Q1Q2","Panama","",NA,"stay",NA,NA,"yes",1,"yes","yes",0,"","Agree",0,0
18,2021,"Q1Q2","Panama","",NA,"stay",2,2,"yes",1,"yes","yes",0,"StronglyAgree","Disagree",0,0
19,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,0,"yes",1,"","",0,"","StronglyAgree",1,0
20,2021,"Q1Q2","Panama","",NA,"stay",3,1,"yes",1,"yes","yes",0,"StronglyAgree","StronglyAgree",0,0
21,2021,"Q1Q2","Panama","salvador",NA,"stay",3,0,"yes",1,"","",0,"StronglyAgree","StronglyAgree",0,0
22,2021,"Q1Q2","Panama","",NA,"stay",2,0,"yes",1,"","",0,"StronglyAgree","StronglyAgree",1,0
23,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,0,"yes",0,"","",0,"","StronglyAgree",0,0
24,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,0,"yes",1,"","",0,"StronglyAgree","StronglyAgree",0,0
25,2021,"Q1Q2","Panama","venezuela",NA,"stay",1,0,"yes",1,"","",0,"StronglyAgree","Undecided",0,0
26,2021,"Q1Q2","Panama","colombia",NA,"stay",2,2,"yes",1,"yes","yes",0,"StronglyAgree","Agree",0,0
27,2021,"Q1Q2","Panama","",NA,"dontknow",1,0,"yes",1,"","",0,"","StronglyAgree",1,0
28,2021,"Q1Q2","Panama","venezuela",NA,"dontknow",NA,NA,"yes",1,"","",0,"Disagree","StronglyAgree",1,0
29,2021,"Q1Q2","Panama","colombia",NA,"stay",3,0,"yes",1,"","",0,"StronglyAgree","StronglyAgree",0,0
30,2021,"Q1Q2","Panama","venezuela",NA,"stay",3,0,"",1,"","",0,"","StronglyAgree",1,0
31,2021,"Q1Q2","Panama","nicaragua",NA,"stay",2,1,"yes",0,"","",0,"StronglyAgree","Undecided",0,0
32,2021,"Q1Q2","Panama","",NA,"stay",NA,NA,"yes",0,"yes","yes",0,"StronglyAgree","StronglyAgree",1,0
33,2021,"Q1Q2","Panama","venezuela",NA,"stay",NA,NA,"yes",1,"yes","yes",0,"StronglyAgree","StronglyAgree",1,0
34,2021,"Q1Q2","Panama","colombia",NA,"stay",2,1,"yes",0,"yes","yes",0,"Agree","StronglyAgree",0,0
35,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,0,"yes",0,"","",0,"","Agree",0,0
36,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,1,"yes",1,"yes","yes",0,"StronglyAgree","StronglyAgree",0,0
37,2021,"Q1Q2","Panama","venezuela",NA,"stay",1,0,"yes",1,"","",0,"","StronglyAgree",1,0
38,2021,"Q1Q2","Panama","",NA,"stay",2,2,"yes",1,"yes","yes",0,"","StronglyAgree",0,0
39,2021,"Q1Q2","Panama","venezuela",NA,"stay",2,0,"yes",1,"","",0,"StronglyAgree","Agree",1,0
40,2021,"Q1Q2","Panama","colombia",NA,"stay",5,0,"yes",1,"","",0,"StronglyAgree","StronglyDisagree",0,0
41,2021,"Q1Q2","Panama","nicaragua",NA,"relocate",2,1,"yes",1,"no","",0,"StronglyAgree","StronglyAgree",0,0
42,2021,"Q1Q2","Panama","nicaragua",NA,"stay",2,0,"yes",1,"","",0,"","Agree",0,0
43,2021,"Q1Q2","Panama","venezuela",NA,"stay",NA,NA,"yes",1,"no","",0,"","StronglyAgree",1,0
44,2021,"Q1Q2","Panama","colombia",NA,"stay",1,0,"yes",1,"","",0,"Agree","Agree",0,0
45,2021,"Q1Q2","Panama","",NA,"stay",1,0,"yes",1,"","",0,"StronglyAgree","StronglyAgree",1,0
46,2021,"Q1Q2","Panama","",NA,"stay",4,0,"yes",1,"","",0,"Undecided","StronglyAgree",0,0
47,2021,"Q1Q2","Panama","colombia",NA,"stay",2,3,"",1,"yes","yes",0,"StronglyAgree","Undecided",0,0
48,2021,"Q1Q2","Panama","colombia",NA,"stay",NA,NA,"yes",1,"yes","yes",0,"","Agree",0,0
49,2021,"Q1Q2","Panama","venezuela",NA,"stay",5,0,"yes",1,"","",0,"StronglyAgree","StronglyAgree",0,0
50,2021,"Q1Q2","Panama","",NA,"stay",4,1,"yes",1,"yes","no",0,"StronglyAgree","StronglyAgree",1,0
51,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,0,"yes",1,"","",0,"StronglyAgree","Undecided",0,0
52,2021,"Q1Q2","Panama","colombia",NA,"stay",1,0,"yes",1,"","",0,"StronglyAgree","StronglyAgree",0,0
53,2021,"Q1Q2","Panama","venezuela",NA,"stay",3,0,"yes",1,"","",0,"","Undecided",0,0
54,2021,"Q1Q2","Panama","venezuela",NA,"stay",3,1,"yes",1,"yes","yes",0,"","StronglyAgree",0,0
55,2021,"Q1Q2","Panama","colombia",NA,"dontknow",1,0,"yes",1,"","",0,"Agree","StronglyAgree",0,0
56,2021,"Q1Q2","Panama","nicaragua",NA,"relocate",4,1,"yes",1,"yes","no",0,"StronglyAgree","StronglyAgree",0,0
57,2021,"Q1Q2","Panama","colombia",NA,"stay",3,0,"yes",1,"","",0,"StronglyAgree","StronglyAgree",1,0
58,2021,"Q1Q2","Panama","",NA,"dontknow",3,1,"yes",1,"yes","yes",0,"StronglyAgree","Agree",0,0
59,2021,"Q1Q2","Panama","venezuela",NA,"stay",4,0,"yes",1,"","",0,"StronglyAgree","Agree",0,0
60,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,0,"yes",1,"","",0,"","Agree",0,0
61,2021,"Q1Q2","Panama","salvador",NA,"stay",3,0,"yes",1,"","",0,"Agree","StronglyAgree",0,0
62,2021,"Q1Q2","Panama","salvador",NA,"stay",3,1,"yes",0,"yes","yes",0,"","StronglyAgree",0,0
63,2021,"Q1Q2","Panama","",NA,"stay",NA,NA,"yes",1,"yes","yes",0,"","StronglyAgree",0,0
64,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,0,"yes",1,"","",0,"","StronglyAgree",1,0
65,2021,"Q1Q2","Panama","nicaragua",NA,"dontknow",NA,NA,"yes",1,"","",0,"StronglyAgree","StronglyAgree",0,0
66,2021,"Q1Q2","Panama","salvador",NA,"relocate",2,0,"",1,"","",0,"StronglyAgree","StronglyAgree",0,0
67,2021,"Q1Q2","Panama","venezuela",NA,"stay",4,0,"yes",0,"","",0,"StronglyAgree","StronglyAgree",0,0
68,2021,"Q1Q2","Panama","",NA,"stay",3,2,"yes",0,"yes","no",0,"StronglyAgree","StronglyAgree",1,0
69,2021,"Q1Q2","Panama","colombia",NA,"stay",1,0,"yes",1,"","",0,"StronglyAgree","Agree",0,0
70,2021,"Q1Q2","Panama","nicaragua",NA,"stay",1,0,"yes",1,"","",0,"","StronglyAgree",1,0
71,2021,"Q1Q2","Panama","",NA,"stay",NA,NA,"no",0,"","",0,"StronglyAgree","Undecided",0,0
72,2021,"Q1Q2","Panama","",NA,"stay",1,0,"yes",1,"","",0,"StronglyAgree","Agree",0,0
73,2021,"Q1Q2","Panama","",NA,"stay",1,0,"yes",1,"","",0,"","StronglyAgree",0,0
