index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
485,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,,,0.0,Agree,Agree,0.0,0.0
486,2021,Q1Q2,Argentina,venezuela,,stay,3.0,0.0,no,1,,,0.0,StronglyAgree,Agree,1.0,0.0
487,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,,Agree,1.0,0.0
488,2021,Q1Q2,Argentina,venezuela,,stay,,,no,1,yes,yes,0.0,StronglyAgree,StronglyAgree,1.0,0.0
489,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,yes,1,yes,no,0.0,,Undecided,0.0,0.0
490,2021,Q1Q2,Argentina,venezuela,,dontknow,1.0,0.0,yes,1,,,0.0,,Undecided,0.0,0.0
491,2021,Q1Q2,Argentina,venezuela,,stay,3.0,0.0,no,1,,,0.0,Undecided,Agree,0.0,0.0
492,2021,Q1Q2,Argentina,venezuela,,stay,2.0,2.0,no,1,yes,yes,0.0,StronglyAgree,StronglyAgree,0.0,0.0
493,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Agree,Agree,1.0,0.0
494,2021,Q1Q2,Argentina,venezuela,,stay,1.0,2.0,no,1,yes,Nainpersonclasses,0.0,Agree,Undecided,0.0,0.0
495,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,,StronglyAgree,1.0,0.0
496,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,Agree,Agree,1.0,0.0
497,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,,,0.0,StronglyAgree,Agree,0.0,0.0
498,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,,StronglyAgree,0.0,0.0
499,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Agree,Agree,0.0,0.0
500,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Agree,StronglyAgree,1.0,0.0
501,2021,Q1Q2,Argentina,venezuela,,stay,4.0,0.0,no,1,,,0.0,StronglyAgree,Agree,0.0,0.0
502,2021,Q1Q2,Argentina,venezuela,,dontknow,3.0,2.0,no,1,yes,no,0.0,StronglyAgree,StronglyAgree,0.0,0.0
503,2021,Q1Q2,Argentina,venezuela,,dontknow,1.0,0.0,no,1,,,0.0,StronglyAgree,StronglyAgree,1.0,0.0
504,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,,StronglyAgree,0.0,0.0
505,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,StronglyAgree,Agree,1.0,0.0
506,2021,Q1Q2,Argentina,venezuela,,dontknow,2.0,1.0,no,1,yes,yes,0.0,Agree,StronglyAgree,0.0,0.0
507,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,StronglyAgree,StronglyAgree,1.0,0.0
508,2021,Q1Q2,Argentina,venezuela,,stay,,,no,1,yes,yes,0.0,StronglyAgree,Agree,0.0,0.0
509,2021,Q1Q2,Argentina,venezuela,,stay,,,no,1,yes,yes,0.0,StronglyAgree,Agree,1.0,0.0
510,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Agree,Agree,0.0,0.0
511,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Agree,StronglyAgree,1.0,0.0
512,2021,Q1Q2,Argentina,venezuela,,stay,3.0,1.0,no,1,yes,no,0.0,Disagree,Agree,1.0,0.0
513,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,StronglyAgree,Agree,0.0,0.0
514,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,yes,no,0.0,,Agree,0.0,0.0
515,2021,Q1Q2,Argentina,venezuela,,stay,3.0,0.0,no,1,,,0.0,StronglyAgree,Agree,0.0,0.0
516,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,yes,yes,0.0,StronglyAgree,Agree,1.0,0.0
517,2021,Q1Q2,Argentina,venezuela,,stay,3.0,1.0,no,1,,,0.0,StronglyAgree,StronglyAgree,1.0,0.0
518,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,,StronglyAgree,0.0,0.0
519,2021,Q1Q2,Argentina,venezuela,,stay,2.0,2.0,no,1,yes,yes,0.0,Agree,Agree,0.0,0.0
520,2021,Q1Q2,Argentina,venezuela,,stay,4.0,0.0,no,1,,,0.0,Agree,StronglyAgree,0.0,0.0
521,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,,,0.0,StronglyAgree,Agree,0.0,0.0
522,2021,Q1Q2,Argentina,venezuela,,relocate,,,,1,,,0.0,StronglyAgree,StronglyAgree,0.0,0.0
523,2021,Q1Q2,Argentina,venezuela,,stay,,,no,1,yes,Nainpersonclasses,0.0,StronglyAgree,Agree,1.0,0.0
524,2021,Q1Q2,Argentina,venezuela,,relocate,2.0,0.0,no,1,,,0.0,Agree,Agree,1.0,0.0
525,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,,,0.0,Agree,Agree,0.0,0.0
526,2021,Q1Q2,Argentina,venezuela,,relocate,3.0,0.0,no,1,,,0.0,StronglyAgree,Agree,1.0,0.0
