ID,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
1,2021,Q1Q2,Uruguay,venezuela,,stay,,,no,1,,,0,StronglyAgree,Agree,1,0
2,2021,Q1Q2,Uruguay,venezuela,,stay,,,no,1,yes,Nainpersonclasses,0,StronglyAgree,Agree,0,0
3,2021,Q1Q2,Uruguay,venezuela,,stay,5.0,0.0,no,1,,,0,StronglyAgree,StronglyAgree,1,0
4,2021,Q1Q2,Uruguay,venezuela,,stay,,,yes,1,yes,Nainpersonclasses,0,,StronglyAgree,1,0
5,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,1.0,no,1,,,0,StronglyAgree,StronglyAgree,0,0
6,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,0.0,no,1,,,0,StronglyAgree,Disagree,0,0
7,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,0.0,yes,1,,,0,,StronglyAgree,0,0
8,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,1.0,no,1,yes,yes,0,,StronglyAgree,0,0
9,2021,Q1Q2,Uruguay,venezuela,,relocate,,,no,1,yes,yes,0,StronglyAgree,Undecided,0,0
10,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,1.0,,1,,,0,StronglyAgree,Agree,1,0
11,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,0.0,no,1,,,0,StronglyAgree,StronglyAgree,1,0
12,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,1.0,yes,1,yes,yes,0,StronglyAgree,Agree,0,0
13,2021,Q1Q2,Uruguay,venezuela,,stay,1.0,0.0,yes,1,,,0,StronglyAgree,Agree,0,0
14,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,3.0,,1,yes,Nainpersonclasses,0,Agree,StronglyAgree,1,0
15,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,2.0,no,1,yes,yes,0,Agree,Agree,1,0
16,2021,Q1Q2,Uruguay,,,stay,,,no,1,,,0,StronglyAgree,StronglyAgree,0,0
17,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,2.0,,1,yes,no,0,Agree,Disagree,0,0
18,2021,Q1Q2,Uruguay,venezuela,,stay,6.0,0.0,no,1,,,0,,Agree,0,0
19,2021,Q1Q2,Uruguay,venezuela,,relocate,2.0,2.0,no,1,yes,yes,0,Agree,StronglyAgree,1,0
20,2021,Q1Q2,Uruguay,venezuela,,stay,,,no,1,yes,yes,0,Agree,Agree,1,0
21,2021,Q1Q2,Uruguay,venezuela,,relocate,2.0,2.0,no,1,yes,yes,0,Agree,StronglyAgree,1,0
22,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,1.0,no,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
23,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,3.0,no,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
24,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,2.0,no,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
25,2021,Q1Q2,Uruguay,venezuela,,stay,1.0,2.0,no,1,yes,no,0,StronglyAgree,Agree,1,0
26,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,1.0,,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
27,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,2.0,no,1,yes,yes,0,Agree,StronglyAgree,0,0
28,2021,Q1Q2,Uruguay,venezuela,,stay,,,no,1,,,0,StronglyAgree,StronglyAgree,0,0
29,2021,Q1Q2,Uruguay,venezuela,,relocate,2.0,3.0,no,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
30,2021,Q1Q2,Uruguay,venezuela,,relocate,1.0,0.0,no,1,,,0,StronglyAgree,StronglyAgree,0,0
31,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,1.0,yes,1,no,,0,StronglyAgree,Agree,1,0
32,2021,Q1Q2,Uruguay,venezuela,,stay,,,no,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
33,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,3.0,no,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
34,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,0.0,no,1,,,0,StronglyAgree,Agree,0,0
35,2021,Q1Q2,Uruguay,venezuela,,stay,1.0,0.0,yes,0,,,0,Disagree,StronglyAgree,0,0
36,2021,Q1Q2,Uruguay,venezuela,,relocate,,,no,1,yes,no,0,Undecided,Agree,1,0
37,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,2.0,no,1,yes,Nainpersonclasses,0,Agree,Agree,0,0
38,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,0.0,no,1,,,0,StronglyAgree,Agree,1,0
39,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,0.0,no,1,,,0,StronglyAgree,StronglyAgree,0,0
40,2021,Q1Q2,Uruguay,venezuela,,stay,,,no,1,,,0,StronglyAgree,StronglyAgree,1,0
41,2021,Q1Q2,Uruguay,venezuela,,stay,4.0,0.0,yes,1,,,0,,Agree,0,0
42,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,0.0,yes,1,,,0,Agree,Agree,0,0
43,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,1.0,no,1,,,0,StronglyAgree,StronglyAgree,1,0
44,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,1.0,yes,1,,,0,StronglyAgree,StronglyAgree,0,0
45,2021,Q1Q2,Uruguay,venezuela,,stay,,,no,1,yes,Nainpersonclasses,0,StronglyAgree,StronglyAgree,0,0
46,2021,Q1Q2,Uruguay,venezuela,,stay,1.0,2.0,no,1,yes,yes,0,,Agree,1,0
47,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,2.0,no,1,yes,no,0,Agree,Agree,1,0
48,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,2.0,,1,yes,yes,0,StronglyAgree,Agree,1,0
49,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,1.0,,1,yes,Nainpersonclasses,0,Agree,StronglyAgree,1,0
50,2021,Q1Q2,Uruguay,venezuela,,stay,2.0,0.0,no,1,,,0,StronglyAgree,StronglyAgree,1,0
51,2021,Q1Q2,Uruguay,venezuela,,stay,3.0,1.0,no,1,yes,Nainpersonclasses,0,Agree,StronglyAgree,0,0
