Year,Quarter,CountryOfAsylum,Reason_notschool
2020,Q4,,Childwhynotschool_disease
2021,Q1Q2,Argentina,Childwhynotschool_recentlyarrive
2021,Q1Q2,Argentina,Childwhynotschool_recentlyarrive
