"ID","Year","Quarter","CountryofAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical"
50,2021,"Q3","Suriname","cuba","black","stay",1,0,"yes",1,"","",0,"","StronglyAgree",0,0
51,2021,"Q3","Suriname","cuba","white","dontknow",2,1,"yes",0,"no","",0,"","StronglyAgree",0,0
52,2021,"Q3","Suriname","cuba","white","stay",1,0,"yes",0,"","",0,"","StronglyAgree",0,0
53,2021,"Q3","Suriname","cuba","white","stay",2,1,"yes",0,"no","",0,"","StronglyAgree",0,0
54,2021,"Q3","Suriname","","","stay",4,3,"yes",1,"yes","yes",0,"Agree","StronglyAgree",0,0
55,2021,"Q3","Suriname","cuba","","stay",1,0,"yes",0,"","",0,"StronglyAgree","StronglyAgree",0,0
56,2021,"Q3","Suriname","cuba","white","stay",3,0,"yes",1,"","",0,"","StronglyAgree",1,0
57,2021,"Q3","Suriname","cuba","white","dontknow",1,1,"yes",0,"yes","no",0,"","StronglyAgree",1,0
58,2021,"Q3","Suriname","cuba","white","relocate",1,1,"yes",0,"","",0,"","StronglyAgree",0,0
59,2021,"Q3","Suriname","cuba","","stay",1,0,"yes",0,"","",0,"","Agree",0,0
60,2021,"Q3","Suriname","cuba","mixed","dontknow",2,0,"yes",0,"","",0,"","Agree",0,0
61,2021,"Q3","Suriname","cuba","","notell",2,0,"",0,"","",0,"","Agree",1,0
62,2021,"Q3","Suriname","cuba","white","relocate",1,0,"yes",1,"","",0,"","StronglyAgree",1,0
63,2021,"Q3","Suriname","cuba","mixed","relocate",1,0,"yes",0,"","",0,"StronglyDisagree","StronglyAgree",0,0
64,2021,"Q3","Suriname","cuba","","dontknow",1,0,"yes",1,"","",0,"","StronglyAgree",0,0
65,2021,"Q3","Suriname","cuba","black","dontknow",1,0,"yes",0,"","no",0,"Agree","Undecided",0,0
66,2021,"Q3","Suriname","cuba","mixed","stay",2,1,"yes",0,"yes","no",0,"","Agree",0,0
67,2021,"Q3","Suriname","cuba","black","dontknow",2,0,"yes",0,"","",0,"StronglyAgree","StronglyAgree",0,0
68,2021,"Q3","Suriname","cuba","black","relocate",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
69,2021,"Q3","Suriname","cuba","","relocate",2,1,"yes",0,"yes","yes",0,"StronglyAgree","StronglyAgree",0,0
70,2021,"Q3","Suriname","cuba","","dontknow",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
71,2021,"Q3","Suriname","","mixed","dontknow",2,2,"yes",1,"yes","yes",0,"","Agree",0,0
72,2021,"Q3","Suriname","cuba","","stay",3,3,"yes",0,"","",0,"Agree","Agree",0,0
73,2021,"Q3","Suriname","cuba","black","stay",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
74,2021,"Q3","Suriname","cuba","","dontknow",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
75,2021,"Q3","Suriname","cuba","","stay",1,1,"yes",0,"","",0,"","StronglyAgree",0,0
76,2021,"Q3","Suriname","cuba","mixed","stay",2,0,"yes",0,"","",0,"StronglyAgree","StronglyAgree",0,0
77,2021,"Q3","Suriname","cuba","","",NA,NA,"",0,"","",0,"","",0,0
78,2021,"Q3","Suriname","cuba","mixed","stay",2,0,"yes",0,"","",0,"Agree","StronglyAgree",0,0
79,2021,"Q3","Suriname","cuba","","stay",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
80,2021,"Q3","Suriname","cuba","","relocate",1,0,"yes",1,"","",0,"","Agree",0,0
81,2021,"Q3","Suriname","","other","relocate",2,1,"yes",0,"","",0,"","Disagree",0,0
82,2021,"Q3","Suriname","cuba","white","stay",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
83,2021,"Q3","Suriname","cuba","white","notell",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
84,2021,"Q3","Suriname","cuba","","dontknow",2,0,"yes",1,"","",0,"","StronglyAgree",0,0
85,2021,"Q3","Suriname","cuba","","stay",2,1,"yes",0,"","",0,"","StronglyAgree",0,0
86,2021,"Q3","Suriname","cuba","black","stay",4,0,"yes",0,"","",0,"","StronglyAgree",0,0
87,2021,"Q3","Suriname","cuba","","stay",1,0,"yes",0,"","",0,"","Agree",0,0
88,2021,"Q3","Suriname","cuba","mixed","stay",1,0,"yes",0,"","",0,"StronglyAgree","StronglyAgree",0,0
89,2021,"Q3","Suriname","cuba","","dontknow",1,0,"yes",0,"","",0,"","Undecided",0,0
90,2021,"Q3","Suriname","cuba","","stay",1,0,"yes",0,"","",0,"","Agree",0,0
91,2021,"Q3","Suriname","cuba","","relocate",1,0,"yes",0,"","",0,"","StronglyAgree",1,0
92,2021,"Q3","Suriname","cuba","mixed","dontknow",1,0,"yes",0,"","",0,"","StronglyAgree",1,0
93,2021,"Q3","Suriname","cuba","mixed","stay",2,0,"yes",0,"","",0,"","Undecided",0,0
94,2021,"Q3","Suriname","cuba","","stay",3,0,"yes",0,"","",0,"Agree","StronglyAgree",0,0
95,2021,"Q3","Suriname","cuba","white","relocate",2,0,"",0,"","",0,"","Undecided",0,0
96,2021,"Q3","Suriname","cuba","","stay",2,0,"yes",0,"","",0,"","Agree",1,0
97,2021,"Q3","Suriname","cuba","white","dontknow",2,1,"yes",0,"yes","no",0,"","StronglyAgree",0,0
98,2021,"Q3","Suriname","cuba","","stay",NA,NA,"yes",0,"yes","yes",0,"StronglyAgree","StronglyAgree",0,0
99,2021,"Q3","Suriname","cuba","white","stay",2,1,"yes",1,"","",0,"","StronglyAgree",0,0
100,2021,"Q3","Suriname","","mixed","dontknow",NA,NA,"yes",1,"","",0,"","Agree",1,0
101,2021,"Q3","Suriname","cuba","mixed","stay",2,2,"yes",0,"yes","no",0,"","StronglyAgree",0,0
102,2021,"Q3","Suriname","cuba","","dontknow",2,0,"",0,"","",0,"","StronglyAgree",0,0
103,2021,"Q3","Suriname","cuba","white","stay",NA,NA,"yes",0,"","",0,"","StronglyAgree",1,0
104,2021,"Q3","Suriname","cuba","","stay",1,0,"yes",0,"","",0,"","StronglyAgree",0,0
105,2021,"Q3","Suriname","cuba","mixed","stay",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
106,2021,"Q3","Suriname","","white","stay",3,0,"yes",0,"","",0,"Agree","StronglyAgree",0,0
107,2021,"Q3","Suriname","cuba","white","dontknow",2,0,"yes",1,"","",0,"","Agree",1,0
108,2021,"Q3","Suriname","cuba","","dontknow",3,2,"yes",0,"no","",0,"Agree","Agree",0,0
